feature,importance
CP_first25_range,0.00012769098824290447
TS4_slope,0.00012695696308668447
EPS1_last10_std,0.0001263240194003971
TS4_first25_slope,0.00012565852097104317
TS1_delta,0.0001255646336481361
CP_last10_range,0.00012432449286877258
TS1_last10_std,0.00012409744561244377
CE_first25_slope,0.00012359732129474748
VS1_last25_range,0.0001235490656259989
PS4_cv,0.00012302691456799874
FS2_last10_slope,0.00012291487325222117
TS4_last25_std,0.00012268125537089232
TS3_first25_std,0.00012258597855169457
TS3_last10_range,0.00012245322155198383
TS1_last10_range,0.00012232696521630873
CE_range,0.00012227238048711362
VS1_last25_slope,0.00012208815793905716
TS4_last10_range,0.00012073814912229238
CE_first25_range,0.00012051247754827388
FS2_mid50_slope,0.00012046187788910856
PS5_slope,0.0001204522992544646
CE_first25_std,0.00012035844421385971
TS3_first25_range,0.00011866700579914752
CP_mid50_range,0.00011758577986367149
CP_last10_std,0.00011720601926096303
TS1_last25_range,0.00011683676860998081
TS4_last25_range,0.00011666529535044612
PS5_mid50_slope,0.00011450345135987741
CP_late_mean_shift,0.00011433572925113281
TS3_last10_std,0.00011430374543204284
VS1_delta,0.00011353126188447268
FS2_last25_slope,0.0001129427313923638
CE_last25_range,0.0001126902488079695
TS3_last25_std,0.00011254006044867428
CE_slope,0.00011089637703468145
CE_mid50_slope,0.00011085178914100134
CE_last10_slope,0.00010978101683112227
TS4_delta,0.00010807606077589285
CE_late_mean_shift,0.00010785578597589246
CP_last25_std,0.00010781061073236885
EPS1_last10_range,0.00010715521742770266
PS6_mid50_slope,0.00010676376169760647
TS4_last10_std,0.00010642301296938557
PS4_last10_std,0.00010564470602902494
PS4_slope,0.00010541394017680517
PS3_last,0.00010522511266813976
CP_late_instability_shift,0.00010519356747812612
CE_last25_std,0.00010429814460991845
PS5_last25_slope,0.00010325430404416803
TS3_last25_range,0.00010269444632659056
PS6_slope,0.00010193999412777127
CE_last25_slope,0.00010176493790090375
PS6_last25_slope,0.0001014519496556709
FS2_delta,0.00010142120391305432
PS3_delta,0.0001000274029889527
PS3_last10_slope,9.994352325444834e-05
TS3_last25_slope,9.984855383365065e-05
FS2_slope,9.806858698417136e-05
FS2_first25_slope,9.683267081815746e-05
PS4_late_mean_shift,9.477081507882434e-05
EPS1_delta,9.351803446864665e-05
CP_first25_std,9.259558781136369e-05
PS5_delta,9.203214062286421e-05
CP_last25_slope,9.173271718748467e-05
FS2_late_instability_shift,9.148648541057888e-05
CP_slope,9.138190048440658e-05
CP_mid50_slope,8.98518363260559e-05
CP_last25_range,8.957988785915717e-05
PS6_delta,8.893099821132736e-05
CE_last10_range,8.864873920147002e-05
SE_delta,8.828698080276756e-05
TS3_last10_slope,8.797550644286109e-05
FS2_late_mean_shift,8.794092467335902e-05
CP_range,8.631511821027755e-05
PS5_last10_slope,8.534116756283592e-05
VS1_last10_range,8.337175725754691e-05
VS1_last10_slope,8.336851829775186e-05
PS4_last25_slope,8.12627705226674e-05
TS4_late_instability_shift,8.104589058482241e-05
PS1_delta,8.092895922350374e-05
TS4_last25_slope,8.019701205672791e-05
VS1_last10_std,7.980500592117014e-05
CP_delta,7.384370104741111e-05
CE_delta,7.261060214170145e-05
PS6_late_instability_shift,7.15384689274981e-05
CE_late_instability_shift,6.975684883113243e-05
PS4_mid50_slope,6.850794348345735e-05
CE_last10_std,6.79634922731193e-05
PS4_first25_slope,6.752252820645055e-05
PS4_last10_range,5.9379982754519787e-05
PS2_delta,4.5007757113973564e-05
PS4_delta,4.054740073334003e-05
PS4_last10_slope,2.5601607578467285e-05
PS2_min,0.0
PS2_first25_min,0.0
PS3_min,0.0
PS3_first25_min,0.0
SE_first25_min,0.0
SE_min,0.0
FS1_min,0.0
FS1_first25_min,0.0
